country,Totalcase,Newcase,TotalDeath,Newdeath,TotalRecovered,Newrecovered,Activecases,Serious/critical,Population
USA,"103,583,983",,"1,125,558",,"100,449,206",,"2,009,219","4,454","334,805,269"
India,"44,681,884",,"530,726",,"44,148,472",,"2,686",698,"1,406,631,776"
France,"39,453,006",,"163,463",,"39,056,393",,"233,150",869,"65,584,518"
Germany,"37,622,357",,"163,965",,"37,104,300","40,500","354,092","1,281","83,883,596"
Brazil,"36,661,526",,"695,461",,"35,580,516",,"385,549","8,318","215,353,593"
Japan,"31,471,011",,"62,963",,"21,370,395",,"10,037,653",687,"125,584,838"
S. Korea,"29,861,234","40,199","33,014",30,"28,963,363","65,172","864,857",503,"51,329,899"
Italy,"25,363,742",,"185,993",,"24,824,106",,"353,643",310,"60,262,770"
UK,"24,243,393",,"202,157",,"23,935,279","8,569","105,957",146,"68,497,907"
Russia,"21,860,902",,"394,438",,"21,278,106",,"188,358","2,300","145,805,947"
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"85,561,976"
Spain,"13,711,251",,"117,759",,"13,522,850",,"70,642",231,"46,719,142"
Vietnam,"11,526,167",,"43,186",,"10,612,117",,"870,864",3,"98,953,541"
Australia,"11,247,412",,"17,712",,"11,146,950",,"82,750",102,"26,068,792"
Argentina,"10,024,095",,"130,338",,"9,760,801",,"132,956",402,"46,010,234"
Taiwan,"9,225,106",,"15,873",,"8,722,231",,"487,002",,"23,888,595"
Netherlands,"8,577,856",,"22,989",,"8,533,720",578,"21,147",55,"17,211,447"
Iran,"7,562,755",,"144,727",,"7,336,791",,"81,237",188,"86,022,837"
Mexico,"7,314,891",,"331,595",,"6,544,815",,"438,481","4,798","131,562,772"
Indonesia,"6,726,311",,"160,739",,"6,558,731",,"6,841","2,771","279,134,505"
Poland,"6,373,370",,"118,651",,"5,335,940",,"918,779","1,101","37,739,785"
Colombia,"6,349,971",,"142,259",,"6,170,360",,"37,352",342,"51,512,762"
Austria,"5,743,070",,"21,565",,"5,697,450",,"24,055",61,"9,066,710"
Portugal,"5,557,941",,"25,805",,"5,527,812",531,"4,324",61,"10,140,570"
Greece,"5,548,487",,"34,779",,"5,513,708",,0,115,"10,316,637"
Ukraine,"5,364,322",,"110,920",,"5,246,563",457,"6,839",,"43,192,122"
Chile,"5,089,405",,"63,541",,"5,019,124",,"6,740",128,"19,250,195"
Malaysia,"5,032,904",,"36,914",,"4,985,659",,"10,331",21,"33,181,072"
Israel,"4,777,222",,"12,126",,"4,757,423",,"7,673",57,"9,326,000"
DPRK,"4,772,813",,74,,"4,772,739",,0,,"25,990,679"
Thailand,"4,725,885",,"33,792",,"4,692,074",,19,"1,496","70,078,203"
Belgium,"4,686,147",,"33,478",,"4,627,910","1,545","24,759",92,"11,668,278"
Czechia,"4,584,949",,"42,258",,"4,537,365",,"5,326",34,"10,736,784"
Canada,"4,524,782",,"49,871",,"4,407,495",,"67,416",99,"38,388,419"
Peru,"4,475,610",,"218,547",,"4,245,094","2,474","11,969",77,"33,684,208"
Switzerland,"4,383,648",,"14,407",,"4,347,837","1,905","21,404",53,"8,773,637"
Philippines,"4,070,591",,"65,614",,"3,993,133",,"11,844",162,"112,508,994"
South Africa,"4,051,891",,"102,568",,"3,912,506",,"36,817",192,"60,756,135"
Romania,"3,319,680",,"67,504",,"3,240,976",,"11,200",118,"19,031,335"
Denmark,"3,171,515",,"7,982",,"3,159,891","2,803","3,642",15,"5,834,950"
Hong Kong,"2,836,370",,"12,863",,"2,234,146",,"589,361",42,"7,604,299"
Sweden,"2,687,840",,"22,610",,"2,634,837","1,140","30,393",28,"10,218,971"
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"42,164,965"
Serbia,"2,460,387",,"17,619",,"2,426,931",,"15,837",14,"8,653,016"
Singapore,"2,212,131",,"1,717",,"2,139,440",,"70,974",2,"5,943,546"
Hungary,"2,190,334",,"48,578",,"2,130,407",,"11,349",36,"9,606,259"
New Zealand,"2,157,933",,"3,676",,"2,136,333",,"17,924",,"4,898,203"
Bangladesh,"2,037,377",,"29,441",,"1,989,765",,"18,171","1,331","167,885,689"
Slovakia,"1,860,113",,"20,878",,"1,838,377",,858,28,"5,460,193"
Georgia,"1,811,015",,"16,909",,"1,776,548",,"17,558",,"3,968,738"
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"10,300,869"
Ireland,"1,697,775",,"8,388",,"1,678,356",,"11,031",29,"5,020,199"
Pakistan,"1,576,086",5,"30,640",,"1,538,689",,"6,757",12,"229,488,994"
Norway,"1,477,044",,"4,571",,"1,470,506",,"1,967",20,"5,511,370"
Finland,"1,448,656",,"8,431",,"1,432,374",900,"7,851",21,"5,554,960"
Kazakhstan,"1,405,044",53,"13,695",,"1,383,020",,"8,329",24,"19,205,043"
Slovenia,"1,317,603",,"7,036",,"1,301,178",,"9,389",21,"2,078,034"
Bulgaria,"1,294,318",,"38,146",,"1,252,721",,"3,451",50,"6,844,597"
Lithuania,"1,292,586",,"9,521",,"1,276,821",,"6,244",8,"2,661,708"
Morocco,"1,272,053",,"16,295",,"1,255,568",,190,293,"37,772,756"
Croatia,"1,266,503",,"17,775",,"1,247,652",,"1,076",25,"4,059,286"
Lebanon,"1,225,490",,"10,762",,"1,087,587",,"127,141",74,"6,684,849"
Guatemala,"1,218,692",,"20,056",,"1,188,550",,"10,086",5,"18,584,039"
Bolivia,"1,180,376",751,"22,337",2,"1,131,443","1,202","26,596",220,"11,992,656"
Costa Rica,"1,171,802",,"9,104",,"860,711",,"301,987",52,"5,182,354"
Tunisia,"1,147,729",,"29,288",,N/A,N/A,N/A,44,"12,046,656"
Cuba,"1,112,291",,"8,530",,"1,103,628",,133,23,"11,305,652"
UAE,"1,048,159",,"2,348",,"1,031,378",,"14,433",,"10,081,785"
Ecuador,"1,040,463",,"35,940",,"1,004,523",,0,759,"18,113,361"
Uruguay,"1,029,564",,"7,597",,"1,018,679",,"3,288",18,"3,496,016"
Panama,"1,028,272",,"8,589",,"1,018,145",,"1,538",16,"4,446,964"
Mongolia,"1,007,821",,"2,179",,"1,005,087",,555,192,"3,378,078"
Nepal,"1,001,056",,"12,020",,"989,011",,25,,"30,225,582"
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"9,432,800"
Latvia,"974,952",,"6,197",,"968,144",,611,13,"1,848,837"
Saudi Arabia,"827,422",,"9,545",,"815,061",,"2,816",21,"35,844,909"
Azerbaijan,"827,379",,"10,050",,"816,872",,457,,"10,300,205"
Paraguay,"800,163",,"19,746",,N/A,N/A,N/A,7,"7,305,843"
Bahrain,"699,625",,"1,540",,"697,602",,483,1,"1,783,983"
Sri Lanka,"671,966",,"16,823",,"655,136",,7,,"21,575,842"
Kuwait,"662,858",,"2,570",,"660,237",,51,,"4,380,326"
Dominican Republic,"650,990",,"4,384",,"644,785",,"1,821",4,"11,056,370"
Cyprus,"638,062",,"1,270",,"627,239",,"9,553",60,"1,223,387"
Myanmar,"633,753",,"19,490",,"614,221",,42,,"55,227,143"
Palestine,"621,008",,"5,404",,"615,445",,159,17,"5,345,541"
Estonia,"612,829",,"2,885",,"524,990",,"84,954",9,"1,321,910"
Moldova,"597,216",,"11,940",,"504,142",,"81,134",49,"4,013,171"
Venezuela,"551,024",,"5,837",,"544,445",,742,36,"29,266,991"
Egypt,"515,645",,"24,613",,"442,182",,"48,850",122,"106,156,692"
Libya,"507,158",,"6,437",,"500,717",,4,,"7,040,745"
Ethiopia,"499,145",,"7,572",,"485,333",,"6,240",3,"120,812,698"
Qatar,"491,530",,685,,"490,456",,389,3,"2,979,915"
Réunion,"483,818",,917,,"418,572",,"64,329",10,"908,061"
